City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Luganville,VU,2021-01-15 03:11:51,-15.5333,167.1667,86.86,72,90,6.22
196,Qaanaaq,GL,2021-01-15 03:11:52,77.484,-69.3632,9.27,76,89,2.71
197,Conchal,BR,2021-01-15 03:11:52,-22.3303,-47.1725,73.99,100,75,3.44
198,Manaure,CO,2021-01-15 03:11:52,11.7751,-72.4445,78.06,78,85,14.0
199,Goma,CD,2021-01-15 03:11:52,-1.6792,29.2228,62.94,82,99,2.19
200,Bondoukou,CI,2021-01-15 03:11:52,8.0333,-2.8,70.5,49,23,3.47
201,Nizip,TR,2021-01-15 03:11:52,37.0097,37.7942,37.4,93,75,5.91
202,Tual,ID,2021-01-15 03:11:52,-5.6667,132.75,84.78,75,93,13.04
203,Bluefield,US,2021-01-15 03:09:43,37.2698,-81.2223,39.2,48,1,3.11
204,Palmer,US,2021-01-15 03:11:52,42.1584,-72.3287,35.01,100,90,3.2
205,Ronda,ES,2021-01-15 03:11:53,36.7423,-5.1671,45.0,61,0,1.01
206,Kota Kinabalu,MY,2021-01-15 03:11:53,5.9749,116.0724,82.4,83,20,3.44
207,Kenai,US,2021-01-15 03:11:53,60.5544,-151.2583,33.8,55,90,20.71
208,Skibbereen,IE,2021-01-15 03:11:15,51.55,-9.2667,41.0,81,75,1.14
209,Marienburg,PL,2021-01-15 03:11:53,54.0359,19.0266,24.01,100,95,0.85
210,Marsa Matruh,EG,2021-01-15 03:07:08,31.3525,27.2453,53.6,66,20,8.05
211,Tabat,ID,2021-01-15 03:11:53,-2.635,115.2274,75.36,94,100,1.88
212,Mansa,IN,2021-01-15 03:11:53,29.9833,75.3833,50.92,46,96,2.44
213,Muravlenko,RU,2021-01-15 03:07:28,63.7898,74.523,-8.27,87,100,11.59
214,Norman Wells,CA,2021-01-15 03:09:59,65.282,-126.8329,-7.6,84,20,5.75
215,Tasiilaq,GL,2021-01-15 03:11:53,65.6145,-37.6368,33.8,93,90,4.61
